ID,SPECIES,hw,hl,ml,el1,el2,wl
CASENT0102753,Dorymyrmex insanus,0.735,0.836,0.425,0.257,0.254,1.062
CASENT0179520,Dorymyrmex insanus,0.718,0.788,0.391,0.248,0.205,1.094
CASENT0249672,Dorymyrmex insanus,0.705,0.8,0.422,0.226,0.241,1.057
CASENT0732617,Dorymyrmex insanus,0.692,0.79,0.335,0.197,0.212,1.018
,Dorymyrmex smithi,,,,,,
CASENT0005322,Forelius mccooki,0.796,0.946,0.411,0.223,0.124,0.67
CASENT0102754,Forelius mccooki,0.523,0.611,0.264,0.145,0.144,0.74
CASENT0249692,Forelius mccooki,0.489,0.575,0.288,0.14,0.144,0.717
CASENT0909716,Forelius mccooki,0.631,0.695,0.325,0.169,0.192,1.05
CASENT0922449,Forelius mccooki,0.478,0.566,,0.139,0.136,0.694
ANTWEB1041662,Formica argentea,1.393,1.539,0.731,0.569,0.553,2.448
CASENT0005361,Formica argentea,1.457,1.628,0.701,0.535,0.52,2.389
CASENT0102159,Formica argentea,1.549,1.636,0.674,0.568,0.584,2.529
CASENT0179849,Formica argentea,1.449,1.656,0.714,0.583,0.581,2.5
FMNHINS0000062555,Formica argentea,1.578,1.701,0.725,0.565,,2.673
CASENT0102161,Formica difficilis,1.512,1.693,0.792,0.465,0.443,2.275
CASENT0105549,Formica difficilis,1.249,1.463,0.627,0.375,0.373,1.936
CASENT0280414,Formica difficilis,1.454,1.603,0.763,0.425,0.432,2.241
CASENT0104768,Formica exsectoides,1.797,1.812,0.871,0.494,0.54,2.683
CASENT0911093,Formica exsectoides,1.703,1.797,0.853,0.497,0.498,2.449
FMNHINS0000046254,Formica exsectoides,1.568,1.648,0.764,0.446,0.465,2.562
ANTWEB1008410,Formica fusca,1.138,1.34,0.588,0.448,0.33,2.017
CASENT0173170,Formica fusca,1.249,1.441,0.629,0.486,0.39,1.864
CASENT0179924,Formica fusca,2.754,3.217,1.305,0.976,0.996,4.425
CASENT0280385,Formica fusca,1.338,1.503,0.577,0.489,0.491,2.356
FMNHINS0000046280,Formica fusca,1.349,1.59,0.653,0.473,0.474,2.315
