"","SPECIES","poly_id"
"198","Crematogaster parapilosa",0
"199","Cyphomyrmex minutus",0
"200","Dolichoderus pustulatus",0
"201","Dorymyrmex bossutus",0
"202","Dorymyrmex elegans",0
"203","Dorymyrmex flavopectus",0
"204","Dorymyrmex reginicula",0
"205","Eurhopalothrix floridana",0
"206","Lasius alienus",0
"207","Lasius umbratus",0
"208","Leptogenys manni",0
"209","Monomorium ebeninum",0
"210","Monomorium subcoecum",0
"211","Monomorium trageri",0
"212","Myrmelachista ramulorum",1
"213","Neivamyrmex pilosus",1
"214","Neivamyrmex texanus",1
"215","Nylanderia concinna",0
"216","Nylanderia pubens",0
"217","Nylanderia steinheili",0
"218","Ochetellus glaber",0
"219","Odontomachus relictus",0
"220","Odontomachus ruginodis",0
"221","Pheidole anastasii",1
"222","Pheidole carrolli",1
"223","Pheidole diversipilosa",1
"224","Pheidole flavens",1
"225","Pheidole floridana",1
"226","Pheidole littoralis",1
"227","Pheidole megacephala",1
"228","Platythyrea punctata",0
"229","Polyergus longicornis",0
"230","Polyergus lucidus",0
"231","Poneracantha triangularis",0
"232","Prionopelta antillana",0
"233","Proceratium creek",0
"234","Pseudomyrmex cubaensis",0
"235","Pseudomyrmex elongatus",0
"236","Pseudomyrmex leptosus",0
"237","Pseudomyrmex simplex",0
"238","Pseudoponera stigma",0
"239","Solenopsis nickersoni",0
"240","Solenopsis phoretica",NA
"241","Strumigenys abdita",0
"242","Strumigenys apalachicolensis",0
"243","Strumigenys boltoni",0
"244","Strumigenys carolinensis",0
"245","Strumigenys cloydi",0
"246","Strumigenys emmae",0
"247","Strumigenys gundlachi",0
"248","Strumigenys lanuginosa",0
"249","Strumigenys missouriensis",0
"250","Strumigenys rogeri",0
"251","Strumigenys wrayi",0
"252","Tapinoma litorale",0
"253","Technomyrmex difficilis",0
"254","Temnothorax allardycei",1
"255","Temnothorax palustris",0
"256","Temnothorax torrei",0
"257","Tetramorium caldarium",0
"258","Tetramorium simillimum",0
"259","Trachymyrmex jamaicensis",0
"260","Wasmannia auropunctata",0
"261","Xenomyrmex floridanus",0
"262","Aphaenogaster texana",0
"263","Camponotus noveboracensis",1
"264","Camponotus sansabeanus",1
"265","Camponotus subbarbatus",1
"266","Dorymyrmex insanus",0
"267","Forelius mccooki",0
"268","Formica argentea",0
"269","Formica difficilis",0
"270","Formica exsectoides",0
"271","Formica fusca",0
"272","Formica incerta",0
"273","Formica neorufibarbiis",0
"274","Formica obscuriventris",1
"275","Formica scitula",0
"276","Lasius murphyi",0
"277","Lasius nearcticus",0
"278","Lasius pallitarsis",0
"279","Lasius plumopilosus",0
"280","Lasius pubescens",0
"281","Lasius speculiventris",0
"282","Lasius subglaber",0
"283","Myrmecina davison",0
"284","Myrmica fracticornis",0
"285","Myrmica incompleta",0
"286","Myrmica latifrons",0
"287","Myrmica spatulata",0
"288","Nylanderia parasitica",0
"289","Nylanderia trageri",0
"290","Pheidole davisi",1
"291","Pheidole pelor",1
"292","Polyergus ruber",0
"293","Solenopsis abdita",0
"294","Stenamma brevicorne",0
"295","Stenamma meridionale",0
"296","Strumigenys bimarginata",0
"297","Strumigenys deyrupi",0
"298","Strumigenys filirrhina",0
"299","Strumigenys inopina",0
"300","Strumigenys memorialis",0
"301","Strumigenys rohweri",0
"302","Temnothorax ambiguus",0
"303","Temnothorax duloticus",0
"304","Temnothorax minutissimus",0
"305","Tetramorium tsushimae",0
