ID,SPECIES,hw,hl,ml,el1,el2,wl,
,Solenopsis tonsa,0.765,0.72,,0.23,0.23,1.45,antwiki original descrip
casent0104514,Solenopsis xyloni,1.168,1.157,0.586,0.308,0.409,2.397,
casent0919620,Stenamma brevicorne,0.741,0.837,0.428,0.172,0.175,1.201,
casent0248398,Stenamma diecki,0.736,0.889,0.427,0.215,0.218,1.282,
,Stenamma foveolocephalum,,,,,,,
,Stenamma meridionale,,,,,,,
,Stenamma schmittii,,,,,,,
,Strumigenys abdita,,,,,,,
,Strumigenys bimarginata,,,,,,,
,Strumigenys cloydi,,,,,,,
,Strumigenys filirrhina,,,,,,,
casent0104924,Strumigenys hyalina,0.44,0.574,0.123,,0.097,0.667,
casent0641112,Strumigenys lanuginosa,0.482,0.507,0.35,0.119,,,
,Strumigenys memorialis,,,,,,,
,Strumigenys metazytes,,,,,,,
,Strumigenys missouriensis,,,,,,,
,Strumigenys pergandei,,,,,,,
,Strumigenys reflexa,,,,,,,
casent0103125,Strumigenys rohweri,0.4,0.612,0.134,0.105,0.115,0.752,
,Strumigenys silvestrii,,,,,,,
casent0104488,Strumigenys talpa,0.405,0.558,0.142,,0.105,0.74,
,Strumigenys wrayi,,,,,,,
casent0923381,Syllophopsis subcoeca,0.333,0.371,0.183,0.085,0.089,0.598,
,Temnothorax ambiguus,,,,,,,
,Temnothorax americanus,,,,,,,
casent0923374,Temnothorax duloticus,0.503,0.526,0.236,0.185,0.182,0.944,
casent0104819,Temnothorax longispinosus,0.708,0.741,0.313,0.228,0.227,1.174,
casent0172598,Temnothorax minutissimus,0.461,0.5,0.224,,0.14,0.737,
,Temnothorax tuscaloosae,,0.568,,,,0.912,
casent0923237,Tetramorium immigrans,1.046,1.041,0.491,0.271,0.244,2.051,
casent0103103,Tetramorium tsushimae,1.155,1.08,0.601,,0.334,1.91,
casent0173270,Trichomyrmex destructor,0.741,0.808,0.415,0.234,0.216,1.73,
