SPECIES,bins,size,Source
Camponotus snellingi,,1550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Camponotus socius,,350,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Camponotus socius,,590,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Cardiocondyla minutior,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Cardiocondyla venustula,,150,Antwiki
Cardiocondyla wroughtonii,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Colobopsis impressa,,180,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Colobopsis mississippiensis,"18 soldiers, 48 workers, 45 pupae, 151 larvae and 40 egg",66,"Tynes, James S., and Ross E. Hutchins. “Studies of Plant-Nesting Ants in East Central Mississippi.” The American Midland Naturalist, vol. 72, no. 1, 1964, pp. 152–56. JSTOR, https://doi.org/10.2307/2423219. Accessed 17 May 2023."
Colobopsis obliqua,,,
Crematogaster ashmeadi,,3260,"Mason, Keith S., Christina L. Kwapich, and Walter R. Tschinkel. 2015. “Respiration, Worker Body Size, Tempo and Activity in Whole Colonies of Ants.” Physiological Entomology 40 (2): 149–65."
Crematogaster ashmeadi,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster cerasi,hundreds of workers,,
Crematogaster laeviuscula,"16 to 308, average 128",308,
Crematogaster lineolata,,15,Doug Booher Collection
Crematogaster lineolata,,178,Doug Booher Collection
Crematogaster lineolata,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster minutissima,,313,Doug Booher Collection
Crematogaster minutissima,,208,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Crematogaster minutissima,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Crematogaster missouriensis,,,
Crematogaster pilosa,,807,"Loken, Luke C., and Samantha K. Oliver. 2016. “Habitat Requirements and Occurrence of Crematogaster Pilosa (Hymenoptera: Formicidae) Ants within Intertidal Salt Marshes.” Florida Entomologist 99 (1): 82–88."
Crematogaster pinicola,,40000,"Tschinkel 2002 paper, used conservative estimate but the max from this. Deyrup talks about how tschinkl's paper is likely on pinicola and not ashmeadi"
Crematogaster vermiculata,,100,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Cryptopone gilva,,100,Antwiki
Cyphomyrmex rimosus,,150,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Discothyrea testacea,,15,Antwiki
Dolichoderus mariae,,1265000,"Laskis, Kristina O., and Walter R. Tschinkel. 2009. “The Seasonal Natural History of the Ant, Dolichoderus Mariae, in Northern Florida.” Journal of Insect Science 9: 2."
Dolichoderus plagiatus,,779,"Kannowski, P. B. 1967. Colony populations of two species of Dolichoderus (Hymenoptera: Formicidae). Annals of the Entomological Society of America 60:1246-1252."
Dolichoderus taschenbergi,,,
