SPECIES,bins,size,Source
Solenopsis invicta,,220000,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Solenopsis invicta,,150000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis molesta,took maximum from Hayes 1920,1436,"Hayes, W. P. 1920. Solenopsis molesta Say (Hym.): a biological study. Kansas State Agricultural College, Agricultural Experiment Station. Manhattan, KS. Technical bulletin No. 7. 55 p."
Solenopsis pergandei,,10000,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis picta,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis richteri,"up to 200,000",200000,Joe McGowen website
Solenopsis tennesseensis,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis texana,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis tonsa,,200,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Solenopsis xyloni,,,
Stenamma diecki,,41,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma foveolocephalum,,,
Stenamma impar,,54,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stenamma schmittii,,121,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Stigmatomma pallipes,,15,Antwiki sources
Strumigenys angulata,,,
Strumigenys archboldi,,,
Strumigenys brevisetosa,,,
Strumigenys bunki,,40,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys clypeata,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys clypeata,,62,Doug Booher Collection
Strumigenys creightoni,,34,Doug Booher Collection
Strumigenys creightoni,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys dietrichi,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Strumigenys dietrichi,,80,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys eggersi,,33,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys epinotalis,,121,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys hexamera,,35,"Terayama, M., Kubota, S., Eguchi, K. 2014. Encyclopedia of Japanese Ants. Asakura Shoten: Tokyo, 278 pp."
Strumigenys hexamera,,50,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys hyalina,,,
Strumigenys laevinasis,,14,Doug Booher Collection
Strumigenys louisianae,,118,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys margaritae,,200,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys margaritae,,250,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys membranifera,,350,"Ito, F., Touyama, Y., Gotoh, A., Kitahiro, S., Billen, J. 2010. Thelytokous parthenogenesis by queens in the dacetine ant Pyramica membranifera (Hymenoptera: Formicidae). Naturwissenschaften, 97: 725-728."
Strumigenys membranifera,,250,Antwiki
Strumigenys membranifera,,93,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Strumigenys metazytes,,,
Strumigenys ornata,,20,"Wesson L. G., and R. G. Wesson. 1939. Notes on Strumigenys from southern Ohio, with descriptions of six new species. Psyche (Cambridge) 46: 91-112."
Strumigenys pergandei,,120,Antwiki
Strumigenys pilinasis,,56,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,21,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,34,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,32,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,,Doug Booher Collection
Strumigenys pilinasis,,22,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,24,Doug Booher Collection
Strumigenys pilinasis,,45,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,17,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,38,Doug Booher Collection
Strumigenys pilinasis,,49,Doug Booher Collection
Strumigenys pilinasis,,15,Doug Booher Collection
Strumigenys pilinasis,,43,Doug Booher Collection
Strumigenys pilinasis,,11,Doug Booher Collection
Strumigenys pilinasis,,8,Doug Booher Collection
Strumigenys pilinasis,,18,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,12,Doug Booher Collection
Strumigenys pilinasis,,27,Doug Booher Collection
Strumigenys pilinasis,,28,Doug Booher Collection
Strumigenys pilinasis,,55,Doug Booher Collection
Strumigenys pilinasis,,3,Doug Booher Collection
Strumigenys pilinasis,,30,Doug Booher Collection
Strumigenys pilinasis,,7,Doug Booher Collection
Strumigenys pilinasis,,5,Doug Booher Collection
Strumigenys pilinasis,,16,Doug Booher Collection
Strumigenys pilinasis,,52,Doug Booher Collection
Strumigenys pulchella,,33,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Strumigenys reflexa,,,
Strumigenys rostrata,,11,Doug Booher Collection
Strumigenys rostrata,,5,Doug Booher Collection
Strumigenys rostrata,,30,Doug Booher Collection
Strumigenys rostrata,,27,Doug Booher Collection
Strumigenys rostrata,,56,Doug Booher Collection
Strumigenys rostrata,,19,Doug Booher Collection
Strumigenys silvestrii,,,
Strumigenys talpa,,60,"Wesson L. G., and R. G. Wesson. 1939. Notes on Strumigenys from southern Ohio, with descriptions of six new species. Psyche (Cambridge) 46: 91-112."
Strumigenys talpa,,8,Doug Booher Collection
Strumigenys talpa,,121,Doug Booher Collection
Strumigenys talpa,,25,Doug Booher Collection
Strumigenys talpa,,20,Doug Booher Collection
Strumigenys talpa,,50,King
Tapinoma melanocephalum,,550,"Wittenborn, Daniela, and Jonathan Jeschke. ""Characteristics of exotic ants in North America."" NeoBiota 10 (2011): 47-64."
Tapinoma sessile,,300,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Temnothorax americanus,8.61 to 30,19,"Kramer, B.H., Scharf, I. & Foitzik, S. The role of per-capita productivity in the evolution of small colony sizes in ants. Behav Ecol Sociobiol 68, 41–53 (2014). https://doi.org/10.1007/s00265-013-1620-8"
Temnothorax bradleyi,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax curvispinosus,,48,Doug Booher Collection
Temnothorax curvispinosus,,136,Doug Booher Collection
Temnothorax curvispinosus,,161,Doug Booher Collection
Temnothorax curvispinosus,,179,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,53,Doug Booher Collection
Temnothorax curvispinosus,,76,Doug Booher Collection
Temnothorax curvispinosus,,110,Doug Booher Collection
Temnothorax curvispinosus,,38,Doug Booher Collection
Temnothorax curvispinosus,,31,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,35,Doug Booher Collection
Temnothorax curvispinosus,,67,Doug Booher Collection
Temnothorax curvispinosus,,7,Doug Booher Collection
Temnothorax curvispinosus,,6,Doug Booher Collection
Temnothorax curvispinosus,,141,Doug Booher Collection
Temnothorax curvispinosus,,14,Doug Booher Collection
Temnothorax curvispinosus,,28,Doug Booher Collection
Temnothorax curvispinosus,,37,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,71,Doug Booher Collection
Temnothorax curvispinosus,,18,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,30,Doug Booher Collection
Temnothorax curvispinosus,,45,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,5,Doug Booher Collection
Temnothorax curvispinosus,,95,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,162,Doug Booher Collection
Temnothorax curvispinosus,,40,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,25,Doug Booher Collection
Temnothorax curvispinosus,,13,Doug Booher Collection
Temnothorax curvispinosus,,27,Doug Booher Collection
Temnothorax curvispinosus,,50,Doug Booher Collection
Temnothorax curvispinosus,,101,Doug Booher Collection
Temnothorax curvispinosus,,73,Doug Booher Collection
Temnothorax curvispinosus,,26,Doug Booher Collection
Temnothorax curvispinosus,,29,Doug Booher Collection
Temnothorax curvispinosus,,83,Doug Booher Collection
Temnothorax curvispinosus,,46,Doug Booher Collection
Temnothorax curvispinosus,,75,Doug Booher Collection
Temnothorax curvispinosus,,84,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Temnothorax curvispinosus,,50,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Temnothorax longispinosus,,65,Beckers et al. 1989
Temnothorax pergandei,,60,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Temnothorax pergandei,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax schaumii,,100,"Deyrup, Mark. 2016. Ants of Florida: Identification and Natural History. CRC Press."
Temnothorax smithi,,31,"Smith, M. R. 1929. Descriptions of five new North American ants, with biological notes. Ann. Entomol. Soc. Am. 22: 543-551 (page 547, [Junior secondary homonym of Macromischa wheeleri Mann, 1920: 422.] )"
Temnothorax smithi,,40,"Smith, M. R. 1929. Descriptions of five new North American ants, with biological notes. Ann. Entomol. Soc. Am. 22: 543-551 (page 547, [Junior secondary homonym of Macromischa wheeleri Mann, 1920: 422.] )"
Temnothorax texanus,,50,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Temnothorax tuscaloosae,,55,"Guénard, B., Shik, J.Z., Booher, D. et al. Extreme polygyny in the previously unstudied subtropical ant Temnothorax tuscaloosae with implications for the biogeographic study of the evolution of polygyny. Insect. Soc. 63, 543–551 (2016)."
Tetramorium bicarinatum,,500,Doug Booher Collection
Tetramorium immigrans,1.4 to 31k,16200,"Moss, Alexander D., John G. Swallow, and Michael J. Greene. ""Always under foot: Tetramorium immigrans (Hymenoptera: Formicidae), a review."" Myrmecological News 32 (2022)."
Tetramorium lanuginosum,,,
Trachymyrmex septentrionalis,worker,194,"Seal, J. N., W. R. Tschinkel. 2006. Ann. Entomol. Soc. Am. 99:673–682."
Trachymyrmex septentrionalis,worker,800,"Burchill, A. T., and C. S. Moreau. 2016. “Colony Size Evolution in Ants: Macroevolutionary Trends.” Insectes Sociaux 63 (2): 291–98."
Trachymyrmex septentrionalis,worker,300,"King, Joshua R., and Sanford D. Porter. 2007. “Body Size , Colony Size , Abundance , and Ecological Impact of Exotic Ants in Florida’s Upland Ecosystems.” Evolutionary Ecology Research 9 (1): 757–74."
Trichomyrmex destructor,super colonies,,
