Genus.Species,Caste,Image CASENT,Head_width,Head_length,Mandible_length,Eye length_1,Eye length_2,Weber_length
Camponotus.americanus,worker,casent0911614,1.909,2.357,0.826,0.568,0.569,3.634
Camponotus.americanus,worker,casent0280005,1.3065,1.974,0.2195,0.47,0.463,3.043
Camponotus.americanus,major,casent0911613,2.693,3.019,0.2365,0.628,0.63,3.889
Camponotus.caryae,worker,casent0103652,1.526,1.62,0.3505,0.378,0.382,2.2965
Camponotus.caryae,worker,casent0249371,1.229,1.384,0.565,0.428,0.392,1.878
Camponotus.caryae,worker,casent0914444,1.194,1.341,0.474,0.375,,1.928
Camponotus.caryae,major,fmnhins0000045723,2.105,2.098,0.743,0.472,0.463,2.701
Camponotus.castaneus,worker,casent0104761,1.891,2.367,0.819,0.56,0.615,3.886
Camponotus.castaneus,worker,casent0280007,1.543,2.117,0.887,0.557,0.535,
Camponotus.castaneus,worker,casent0906103,2.125,2.684,0.99,0.616,0.659,3.992
Camponotus.castaneus,worker,casent0103654,1.5425,2.186,0.3185,0.534,0.537,3.283
Camponotus.castaneus,major,casent0103653,2.695,3.076,1.077,0.71,0.647,4.133
Camponotus.castaneus,major,casent0104977,3.532,3.415,1.222,0.763,0.745,4.849
Camponotus.castaneus,major,casent0280006,3.033,3.157,1.103,0.679,0.661,4.233
Camponotus.castaneus,major,casent0172603,1.848,2.203,0.2945,0.505,0.5,3.4595
Camponotus.decipiens,worker,casent0249367,1.316,1.513,0.551,0.392,0.393,2.164
Camponotus.decipiens,worker,casent0905404,1.019,1.208,0.429,0.336,0.345,
Camponotus.decipiens,worker,fmnhins0000045842,0.991,1.157,0.432,0.31,0.323,1.771
Camponotus.decipiens,worker,casent0103667,1.073,1.325,0.2135,0.328,0.331,2.014
Camponotus.decipiens,major,casent0103658,2.055,2.055,0.67,0.462,0.432,2.825
Camponotus.decipiens,major,casent0103666,3.207,3.383,1.19,0.768,0.919,5.305
Camponotus.decipiens,major,casent0249368,2.294,2.398,0.4325,0.496,0.492,2.901
Camponotus.discolor,worker,casent0249369,1.3,1.428,0.511,0.381,0.36,1.839
Camponotus.discolor,major,casent0103668,1.939,1.902,0.671,0.434,0.445,2.86
Camponotus.discolor,major,casent0103670,1.7875,1.867,0.266,0.437,0.439,2.3825
Camponotus.floridanus,worker,casent0103673,1.44,1.776,0.703,0.457,0.507,2.754
Camponotus.floridanus,worker,fmnhins0000062856,1.326,1.74,0.318,0.45,0.435,2.7505
Camponotus.floridanus,major,casent0103672,3.291,3.241,1.206,0.715,0.703,3.662
Camponotus.floridanus,major,casent0104894,3.0765,3.184,0.446,0.617,0.62,3.713
Camponotus.nearcticus,worker,casent0103685,1.0075,1.21,0.1,0.311,0.31,1.718
Camponotus.nearcticus,major,casent0103689,1.5115,1.664,0.224,0.403,0.403,2.5275
Camponotus.novogranadensis,worker,casent0280072,0.978,1.146,0.44,0.314,0.308,1.669
Camponotus.novogranadensis,worker,ecofog-it14-0821-05,1.111,1.271,0.602,0.339,0.27,1.456
Camponotus.novogranadensis,worker,casent0173434,1.07,1.361,0.1215,0.341,0.34,1.386
Camponotus.novogranadensis,major,casent0915797,1.714,1.882,0.64,0.365,0.392,2.344
Camponotus.novogranadensis,major,casent0280071,1.839,2.062,0.3775,0.412,0.411,2.273
Camponotus.pennsylvanicus  ,worker,antweb1038001,1.769,1.888,0.817,0.482,0.485,2.847
Camponotus.pennsylvanicus  ,worker,casent0103692,1.763,2.02,0.829,0.502,,3.154
Camponotus.pennsylvanicus  ,worker,casent0179608,1.8585,2.185,0.247,0.521,0.521,2.9445
Camponotus.pennsylvanicus,major,casent0105677,2.924,2.671,1.192,0.625,0.559,3.752
Camponotus.pennsylvanicus,major,casent0103694,2.951,2.846,0.478,0.567,0.57,3.981
Camponotus.planatus,worker,casent0280091,1.343,1.384,0.522,,0.448,1.973
Camponotus.planatus,worker,fmnhins0000062858,1.109,1.151,0.435,0.338,0.339,1.597
Camponotus.planatus,worker,casent0103700,0.887,1.034,0.098,0.307,0.305,1.349
Camponotus.planatus,major,casent0103696,1.529,1.521,0.531,0.406,0.373,1.794
Camponotus.planatus,major,casent0280090,2.309,2.101,0.791,0.549,0.594,2.708
Camponotus.planatus,major,casent0246647,1.814,1.732,0.1655,0.437,0.438,2.012
Camponotus.sexguttatus,worker,casent0103710,0.919,1.252,0.427,0.37,0.358,1.821
Camponotus.sexguttatus,worker,casent0249404,0.743,1.007,0.382,0.315,0.277,1.583
Camponotus.sexguttatus,worker,casent0903635,0.852,1.219,0.496,0.383,0.335,1.847
Camponotus.sexguttatus,worker,casent0249405,0.832,1.183,0.124,0.344,0.339,1.8705
Camponotus.sexguttatus,major,casent0103709,1.467,1.562,0.564,0.451,0.418,1.948
Camponotus.sexguttatus,major,casent0173451,1.611,1.616,0.586,0.468,0.477,2.23
Camponotus.sexguttatus,major,casent0903629,1.395,1.493,0.538,0.43,0.462,2.258
Camponotus.sexguttatus,major,casent0246661,1.358,1.541,0.176,0.403,0.404,1.997
Camponotus.snellingi,worker,casent0103732,1.2095,1.428,0.233,0.316,0.317,2.1385
Camponotus.snellingi,major,casent0103730,1.703,1.767,0.3405,0.351,0.362,2.771
Camponotus.socius,worker,casent0105678,1.941,1.959,1.127,0.527,0.534,3.708
Camponotus.socius,worker,casent0103712,1.5845,2.204,0.286,0.504,0.502,3.806
Camponotus.socius,major,casent0103711,3.051,3.271,0.5195,0.626,0.621,4.4175
Cardiocondyla.emeryi,worker,casent0103733,0.372,0.479,0.207,0.124,0.1,0.507
Cardiocondyla.emeryi,worker,casent0171087,0.468,0.591,0.287,0.143,0.119,0.531
Cardiocondyla.emeryi,worker,casent0235428,0.276,0.349,0.146,0.09,0.081,0.397
Cardiocondyla.emeryi,worker,casent0906359,0.363,0.464,0.191,0.114,0.095,0.509
Cardiocondyla.emeryi,worker,casent0908342,0.37,0.458,0.199,0.116,0.102,0.524
Cardiocondyla.emeryi,worker,casent0005964,0.34,0.451,0.0345,0.09,0.084,0.52
Cardiocondyla.mauritanica,worker,casent0103167,0.418,0.523,0.25,0.123,0.128,0.699
Cardiocondyla.mauritanica,worker,casent0172607,0.45,0.564,0.268,0.135,0.12,0.65
Cardiocondyla.mauritanica,worker,casent0901755,0.438,0.552,0.243,0.121,0.114,0.604
Cardiocondyla.mauritanica,worker,casent0908345,0.45,0.52,0.275,0.131,,0.736
Cardiocondyla.mauritanica,worker,casent0005678,0.47,0.584,0.1115,0.125,0.124,0.69
Cardiocondyla.minutior,worker,casent0102306,0.338,0.436,0.183,0.094,0.095,0.499
Cardiocondyla.minutior,worker,casent0103436,0.367,0.464,0.21,,0.104,0.555
Cardiocondyla.minutior,worker,casent0196173,0.371,0.458,0.197,,0.088,0.551
Cardiocondyla.minutior,worker,casent0171077,0.3355,0.443,0.052,0.089,0.089,0.508
Cardiocondyla.obscurior,worker,casent0103429,0.359,0.41,0.189,0.105,0.1,0.52
Cardiocondyla.obscurior,worker,casent0103752,0.35,0.447,0.206,0.109,0.103,0.567
Cardiocondyla.obscurior,worker,casent0171038,0.387,0.456,0.201,0.104,0.108,0.548
Cardiocondyla.obscurior,worker,casent0901754,0.428,0.478,0.212,0.125,0.111,0.637
Cardiocondyla.obscurior,worker,casent0103430,0.3445,0.415,0.054,0.085,0.087,0.5105
Cardiocondyla.venustula,worker,antweb1041254,0.447,0.563,0.25,0.123,0.127,0.722
