SPECIES,HW,HL,ML,EL,WL
Hypoponera punctatissima,0.562,0.643,0.321,NA,1.048
Lasius alienus,1.412,1.281,0.636,0.365,2.611
Lasius americanus,1.471,1.317,0.722,0.3275,2.367
Lasius aphidicola,1.28,1.187,0.628,0.3,2.175
Lasius brevicornis,1.719,1.326,0.745,0.379,2.453
Lasius claviger,1.668,1.594,0.848,0.3435,2.592
Lasius interjectus,1.63,1.513,0.863,0.328,2.292
Lasius murphyi,0.781,0.749,0.429,0.2585,1.504
Lasius nearcticus,1.329,1.216,0.66,0.343,2.628
Lasius neoniger,NA,NA,NA,NA,NA
Lasius pallitarsis,1.784,1.544,0.84,0.4745,3.068
Lasius plumopilosus,NA,NA,NA,NA,NA
Lasius pubescens,1.064,1.094,0.587,0.275,1.693
Lasius speculiventris,1.655,1.485,0.839,0.379,2.867
Lasius subglaber,1.172,1.225,0.639,0.275,1.983
Lasius umbratus,1.291,1.188,0.65,0.2955,2.141
Leptogenys manni,NA,NA,NA,NA,NA
Linepithema humile,0.802,0.826,0.382,0.327,2.004
Monomorium ebeninum,0.599,0.712,0.287,0.186,1.137
Monomorium floricola,0.466,0.559,0.239,0.123,0.874
Monomorium minimum,0.72,0.784,0.403,0.4755,1.352
Monomorium pharaonis,0.624,0.651,0.311,0.193,1.274
Monomorium subcoecum,0.333,0.371,0.183,0.087,0.598
Monomorium trageri,0.622,0.704,0.356,0.158,1.192
Monomorium viridum,0.748,0.754,0.421,0.1605,1.436
Myrmecina americana,0.82,0.789,0.467,0.1585,1.121
Myrmecina cooperi,NA,NA,NA,NA,NA
Myrmecina davisoni,NA,NA,NA,NA,NA
Myrmelachista ramulorum,0.712,0.916,0.326,0.1945,1.341
Myrmica americana,NA,NA,NA,NA,NA
Myrmica fracticornis,1.175,1.314,0.677,0.316,1.85
Myrmica incompleta,2.832,2.929,1.53,0.465,2.164
Myrmica latifrons,1.206,1.329,0.688,0.309,2.045
Myrmica pinetorum,NA,NA,NA,NA,NA
Myrmica punctiventris,1.015,1.21,NA,NA,1.94
Myrmica spatulata,1.266,1.413,0.674,0.3235,1.975
Neivamyrmex carolinensis,1.396,1.377,0.632,NA,2.449
Neivamyrmex nigrescens,1.782,1.617,0.949,NA,3.157
Neivamyrmex opacithorax,1.86,1.821,0.943,0.1035,3.477
Neivamyrmex pilosus,NA,NA,NA,NA,NA
Neivamyrmex texanus,1.517,1.168,1.175,0.6085,3.752
Nylanderia arenivaga,0.802,0.877,0.458,0.259,1.532
Nylanderia bourbonica,0.496,0.475,0.255,0.262,1.554
Nylanderia concinna,0.758,0.767,0.368,0.218,1.251
Nylanderia faisonensis,0.72,0.748,0.387,0.2165,1.256
Nylanderia fulva,1.065,1.041,0.558,0.3965,1.973
Nylanderia parvula,0.684,0.707,0.36,0.2215,1.387
Nylanderia phantasma,0.88,0.886,0.352,0.26,1.522
Nylanderia pubens,0.906,0.949,0.463,0.3195,1.666
Nylanderia querna,0.685,0.71,NA,0.23,1.19
Nylanderia steinheili,0.734,0.771,0.431,NA,1.484
Nylanderia trageri,0.695,0.75,NA,0.24,1.22
Nylanderia vividula,0.77,0.785,0.401,NA,1.253
Nylanderia wojciki,0.615,0.656,0.308,NA,1.177
Ochetellus glaber,0.794,0.875,0.353,0.2,1.542
Odontomachus brunneus,2.218,2.571,1.452,0.489,3.752
Odontomachus haematodus,1.835,2.355,1.368,0.516,3.374
Odontomachus relictus,1.77,2.15,1.2,0.27,2.75
Odontomachus ruginodis,1.704,1.959,0.941,0.402,2.939
Paratrechina longicornis,1.004,1.069,0.539,0.3925,1.957
Pheidole adrianoi,0.909,0.775,0.401,0.216,1.467
Pheidole anastasii,NA,NA,NA,NA,NA
Pheidole bicarinata,1.257,1.089,0.585,0.2915,1.994
Pheidole bilimeki,0.922,0.875,0.452,0.2395,1.514
Pheidole carrolli,1.467,1.281,0.667,0.3205,2.072
Pheidole crassicornis,1.61,1.39,NA,0.37,2.54
Pheidole davisi,1.05,0.855,0.499,0.2395,1.524
Pheidole dentata,1.482,1.322,0.707,0.4195,2.334
Pheidole dentigula,0.795,0.75,0.418,0.1955,1.041
Pheidole diversipilosa,NA,NA,NA,NA,NA
Pheidole flavens,0.799,0.727,0.379,0.225,1.203
Pheidole floridana,0.94,0.889,0.457,0.2275,1.405
Pheidole lamia,NA,NA,NA,NA,NA
Pheidole littoralis,NA,NA,NA,NA,NA
Pheidole megacephala,1.356,1.215,0.624,0.363,2.206
Pheidole metallescens,0.877,0.833,0.404,NA,1.523
Pheidole moerens,0.927,0.837,0.43,0.22,1.229
Pheidole morrisii,1.503,1.29,0.811,0.443,2.449
Pheidole navigans,0.933,0.85,0.424,0.213,1.245
Pheidole obscurithorax,1.455,1.266,0.838,0.373,2.471
Pheidole pelor,NA,NA,NA,NA,NA
Pheidole pilifera,1.126,0.989,0.65,0.293,1.891
Pheidole tetra,NA,NA,NA,NA,NA
Pheidole tysoni,1.019,0.954,0.522,0.299,1.666
Platythyrea punctata,0.949,1.212,0.587,0.3175,2.315
Pogonomyrmex badius,3.009,2.507,1.506,0.519,3.496
Polyergus longicornis,1.97,1.88,0.975,0.513,3.178
Polyergus lucidus,1.872,1.875,0.948,0.5505,3.183
Polyergus ruber,NA,NA,NA,NA,NA
Ponera exotica,0.407,0.494,0.232,0.088,0.734
Ponera pennsylvanica,0.645,0.805,0.379,0.1625,1.101
Poneracantha triangularis,0.996,1.015,0.682,0.2705,1.868
Prenolepis imparis,1.36,1.245,0.652,0.398,3.15
Prionopelta antillana,0.483,0.535,0.256,0.141,0.823
Proceratium chickasaw,NA,NA,NA,NA,NA
Proceratium crassicorne,0.635,0.655,NA,NA,0.94
Proceratium creek,0.96,1.185,NA,0.045,1.56
Proceratium croceum,0.982,1.057,0.529,0.2765,1.44
Proceratium pergandei,0.903,1.027,0.607,0.1915,1.413
Proceratium silaceum,0.617,0.67,0.342,NA,0.857
Pseudomyrmex cubaensis,0.723,1.226,0.406,0.528,1.588
Pseudomyrmex ejectus,0.696,0.942,0.316,0.47,1.425
Pseudomyrmex elongatus,0.587,0.958,0.295,0.9645,1.432
Pseudomyrmex gracilis,1.55,1.878,0.841,1.1835,3.179
Pseudomyrmex leptosus,0.653,0.839,0.26,0.3995,1.369
Pseudomyrmex pallidus,0.709,0.989,0.389,0.4825,1.667
Pseudomyrmex seminole,0.963,1.286,0.403,0.533,1.942
Pseudomyrmex simplex,0.649,0.925,0.335,0.4675,1.27
Pseudoponera stigma,1.369,1.385,0.832,0.3755,2.565
Pseudoponera stigma,2.008,1.797,1.057,0.3965,3.454
Solenopsis abdita,0.474,0.563,0.261,0.171,1.065
Solenopsis carolinensis,0.474,0.556,0.279,0.244,1.077
Solenopsis geminata,1.507,1.453,0.794,0.3845,2.309
Solenopsis globularia,0.611,0.702,0.323,0.2025,1.135
Solenopsis invicta,1.266,1.221,0.637,NA,2.676
Solenopsis molesta,0.533,0.678,0.285,0.1695,1.17
Solenopsis nickersoni,0.63,0.625,NA,0.185,1.19
Solenopsis pergandei,0.927,0.877,0.495,0.324,1.693
Solenopsis picta,0.472,0.522,0.225,0.139,0.999
Solenopsis tennesseensis,NA,NA,NA,NA,NA
Solenopsis texana,0.781,0.743,NA,0.24,1.12
Solenopsis tonsa,0.765,0.72,NA,0.23,1.45
Solenopsis xyloni,1.168,1.157,0.586,0.3585,2.397
Stenamma brevicorne,0.741,0.837,0.428,0.1735,1.201
Stenamma diecki,0.736,0.889,0.427,0.2165,1.282
Stenamma foveolocephalum,NA,NA,NA,NA,NA
Stenamma impar,0.72,0.786,0.533,0.1865,1.204
Stenamma meridionale,NA,NA,NA,NA,NA
Stigmatomma pallipes,1.095,1.182,0.852,0.183,1.91
Strumigenys abdita,NA,NA,NA,NA,NA
Strumigenys angulata,0.515,0.615,0.275,NA,0.9
Strumigenys apalachicolensis,0.399,0.56,0.162,NA,0.705
Strumigenys archboldi,0.417,0.563,0.188,NA,0.692
Strumigenys bimarginata,NA,NA,NA,NA,NA
Strumigenys boltoni,0.416,0.611,0.138,NA,0.635
Strumigenys brevisetosa,0.397,0.566,0.17,NA,0.713
Strumigenys bunki,0.413,0.57,0.133,NA,0.7
Strumigenys carolinensis,0.43,0.542,0.153,NA,0.73
Strumigenys cloydi,NA,NA,NA,NA,NA
Strumigenys clypeata,0.404,0.563,0.134,NA,0.736
Strumigenys creightoni,0.467,0.653,0.147,NA,0.781
Strumigenys dietrichi,0.395,0.587,0.209,NA,0.609
Strumigenys eggersi,0.387,0.421,0.291,NA,0.544
