"","SPECIES","max_size","median_size","sample"
"153","Pseudomyrmex ejectus",80,80,1
"154","Pseudomyrmex elongatus",80,80,1
"155","Pseudomyrmex gracilis",80,80,1
"156","Pseudomyrmex pallidus",30,30,1
"157","Pseudoponera stigma",9,9,1
"158","Solenopsis carolinensis",200,200,1
"159","Solenopsis geminata",28000,28000,1
"160","Solenopsis globularia",50,50,1
"161","Solenopsis invicta",220000,127529.5,4
"162","Solenopsis molesta",1436,1436,1
"163","Solenopsis pergandei",10000,10000,1
"164","Solenopsis picta",200,200,1
"165","Solenopsis richteri",2e+05,2e+05,1
"166","Solenopsis tennesseensis",200,200,1
"167","Solenopsis texana",200,200,1
"168","Solenopsis tonsa",200,200,1
"169","Stenamma brevicorne",105,105,1
"170","Stenamma diecki",41,41,1
"171","Stenamma impar",54,54,1
"172","Stenamma meridionale",15,15,1
"173","Stenamma schmittii",121,121,1
"174","Stigmatomma pallipes",15,13,3
"175","Strumigenys apalachicolensis",332,332,1
"176","Strumigenys bunki",40,40,1
"177","Strumigenys cloydi",50,50,1
"178","Strumigenys clypeata",62,56,2
"179","Strumigenys creightoni",50,42,2
"180","Strumigenys dietrichi",80,65,2
"181","Strumigenys eggersi",33,33,1
"182","Strumigenys emmae",42,28,2
"183","Strumigenys epinotalis",121,121,1
"184","Strumigenys hexamera",50,42.5,2
"185","Strumigenys laevinasis",14,14,1
"186","Strumigenys louisianae",118,118,1
"187","Strumigenys margaritae",250,225,2
"188","Strumigenys membranifera",350,250,3
"189","Strumigenys memorialis",53,53,1
"190","Strumigenys missouriensis",50,49,2
"191","Strumigenys ornata",20,20,1
"192","Strumigenys pergandei",120,120,1
"193","Strumigenys pilinasis",56,24,25
"194","Strumigenys pulchella",33,33,1
"195","Strumigenys rohweri",100,100,1
"196","Strumigenys rostrata",56,23,6
"197","Strumigenys talpa",121,37.5,6
"198","Tapinoma litorale",20,20,1
"199","Tapinoma melanocephalum",550,550,1
"200","Tapinoma sessile",300,300,1
"201","Technomyrmex difficilis",730400,730400,1
"202","Temnothorax allardycei",60,60,1
"203","Temnothorax ambiguus",50,50,1
"204","Temnothorax americanus",19,19,1
"205","Temnothorax bradleyi",50,50,1
"206","Temnothorax curvispinosus",179,46,37
"207","Temnothorax duloticus",12,12,1
"208","Temnothorax longispinosus",65,65,1
"209","Temnothorax palustris",50,50,1
"210","Temnothorax pergandei",60,55,2
"211","Temnothorax schaumii",100,100,1
"212","Temnothorax smithi",40,35.5,2
"213","Temnothorax texanus",50,50,1
"214","Temnothorax tuscaloosae",55,55,1
"215","Tetramorium bicarinatum",500,500,1
"216","Tetramorium immigrans",16200,16200,1
"217","Tetramorium simillimum",300,300,1
"218","Trachymyrmex jamaicensis",150,150,1
"219","Trachymyrmex septentrionalis",800,300,3
"220","Wasmannia auropunctata",839,819.5,2
"221","Xenomyrmex floridanus",50,50,1
